"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"CONTROL","1","Admin","1","Interview Status","1","2023 National, 2021 National, 2019 National, 2017 National, 2015 National","PUF","Control number","ALL","Character","NA","Coming soon","11000001 : 11199999: 11000001 to 11199999","NA","NA","None","INTSTATUS in ('1' '2' '3')","CONTROL is sequentially assigned each survey year. Beginning with 2015, the first two digits are 11 for National sample records, and 21 for Metropolitan sample records. The last five digits are sequentially numbered beginning with 00001. CONTROL can be used to link records across datasets and between survey years.",
"CONTROL","1","Admin","1","Interview Status","1","2023 Metro, 2021 Metro, 2019 Metro, 2017 Metro, 2015 Metro","PUF","Control number","ALL","Character","NA","Coming soon","21000001 : 21099999: 21000001 to 21099999","NA","NA","None","INTSTATUS in ('1' '2' '3')","CONTROL is sequentially assigned each survey year. Beginning with 2015, the first two digits are 11 for National sample records, and 21 for Metropolitan sample records. The last five digits are sequentially numbered beginning with 00001. CONTROL can be used to link records across datasets and between survey years.",
"CONTROL","1","Admin","1","Interview Status","1","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Control number","ALL","Character","NA","","000000000001 : 999999999999: 000000000001 to 999999999999","","","","","CONTROL can be used to link records across datasets and between survey years. However, in the metro data for 1998, 2002, 2004, 2007, and 2009 CONTROL must be combined with SMSA to uniquely identify housing units and link records. Beginning with 2015, the first three digits are 110 for National sample records, and 210 for Metropolitan sample records. The last five digits are sequentially numbered beginning with 00001.",
"CONTROL","1","Admin","1","Interview Status","1","1996 Metro, 1995 National, 1995 Metro, 1994 Metro, 1982 Metro, 1981 Metro, 1980 Metro, 1979 Metro","PUF","Control number","Flat File","Character","","","000000000001 : 999999999999: 000000000001 to 999999999999","","","","","",
"CONTROL","1","Admin","1","Interview Status","1","1993 National, 1993 Metro, 1992 Metro, 1991 National, 1991 Metro, 1990 Metro, 1989 National, 1989 Metro, 1988 Metro, 1987 National, 1987 Metro, 1986 Metro, 1985 National, 1985 Metro, 1984 Metro, 1983 Metro","PUF","Control number","Flat File","Character","","","000000000001 : 999999999999: 000000000001 to 999999999999","","","","","In the 1985 through 1993 national files, the eleventh digit shows subsamples: 4 - Basic sample, except coverage improvement; 5 - Extra rural sample; 7 - Extra neighbor sample; 8 - Coverage improvement in basic sample.",
"CONTROL","1","Admin","1","Interview Status","1","1983 National","PUF","Control number","Flat File","Character","","","00000000001 : 99999999999: 00000000001 to 99999999999","","","","","In the 1985 through 1993 national files, the eleventh digit shows subsamples: 4 - Basic sample, except coverage improvement; 5 - Extra rural sample; 7 - Extra neighbor sample; 8 - Coverage improvement in basic sample.",
"CONTROL","1","Admin","1","Interview Status","1","1981 National, 1980 National, 1979 National, 1978 National, 1977 National, 1976 National, 1975 National, 1974 National, 1973 National","PUF","Control number","Flat File","Character","","","00000000001 : 99999999999: 00000000001 to 99999999999","","","","","",
"CONTROL","1","Admin","1","Interview Status","1","1978 Metro, 1977 Metro, 1976 Metro, 1975 Metro, 1974 Metro","PUF","Control number","Flat File","Character","","","100000000001 : 999999999999: 100000000001 to 999999999999","","","","","",
"INTLANG","2","Admin","1","Interview Status","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Interview language","HOUSEHOLD","Character","NA","Coming soon","01: English||02: Spanish||10: Other||M or -9: Not reported","In what language was the interview conducted?","LANG","None","INTSTATUS in ('1' '2' '3')","This question is not asked of the respondent. The Field Representative provided the language information as the interview was being completed.",
"INTMODE","3","Admin","1","Interview Status","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Interview mode","HOUSEHOLD","Character","NA","Coming soon","1: Telephone interview||2: Personal visit||M or -9: Not reported","NA","NA","None","INTSTATUS in ('1' '2' '3')","Interview mode is determined using information provided by the Field Representative.",
"INTMONTH","4","Admin","1","Interview Status","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Interview month","HOUSEHOLD","Character","NA","Coming soon","01: January||02: February||03: March||04: April||05: May||06: June||07: July||08: August||09: September||10: October||11: November||12: December","NA","NA","None","INTSTATUS in ('1' '2' '3')","Interview month is determined using the instrument (laptop) date stamp for the interview. If the respondent was interviewed in more than one month (for example, a follow-up visit was needed to complete the interview), INTMONTH reflects the last contact.",
"INTMONTH","4","Admin","1","Interview Status","1","2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Interview month","HOUSEHOLD","Character","NA","Coming soon","1: January||2: February||3: March||4: April||5: May||6: June||7: July||8: August||9: September||10: October||11: November||12: December","NA","NA","None","INTSTATUS in ('1' '2' '3')","Interview month is determined using the instrument (laptop) date stamp for the interview. If the respondent was interviewed in more than one month (for example, a follow-up visit was needed to complete the interview), INTMONTH reflects the last contact.",
"INTSTATUS","5","Admin","1","Interview Status","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Interview status","HOUSEHOLD","Character","NA","Coming soon","1: Occupied interview||2: Usual Residence Elsewhere (URE) interview||3: Vacant interview","NA","NA","None","INTSTATUS in ('1' '2' '3')","Interview status is determined using information provided by the Field Representative.",
"CONTROLM","6","Admin","1","Interview Status","1","2013 Metro","PUF","Original control number for returning metropolitan case","HOUSEHOLD","Character","NA","","000000000000 : 999999999999: 000000000000 to 999999999999","","","","","",
"CONTROLM","6","Admin","1","Interview Status","1","2011 Metro","PUF","Original control number for returning metropolitan case","ALL","Character","NA","","000000000000 : 999999999999: 000000000000 to 999999999999||Blank: Not applicable","","","","","",
"DATE","7","Admin","1","Interview Status","1","2013 National, 2011 National, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National, 1999 National, 1997 National","PUF","Date of interview","HOUSEHOLD","Character","JDATE","","0101YYYY : 1231YYYY: January 1, YYYY to December 31, YYYY (MMDDYYYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","2013 Metro","PUF","Date of interview","HOUSEHOLD","Character","JDATE","","01012013 : 12312013: January 1, 2013 to December 31, 2013 (MMDDYYYY)","","","","","",
